,PassengerId,Ticket,Fare
0,1,A/5 21171,7.25
1,2,PC 17599,71.2833
2,3,STON/O2. 3101282,7.925
3,4,113803,53.1
4,5,373450,8.05
5,6,330877,8.4583
6,7,17463,51.8625
7,8,349909,21.075
8,9,347742,11.1333
9,10,237736,30.0708
10,11,PP 9549,16.7
11,12,113783,26.55
12,13,A/5. 2151,8.05
13,14,347082,31.275
14,15,350406,7.8542
15,16,248706,16.0
16,17,382652,29.125
17,18,244373,13.0
18,19,345763,18.0
19,20,2649,7.225
20,21,239865,26.0
21,22,248698,13.0
22,23,330923,8.0292
23,24,113788,35.5
24,25,349909,21.075
25,26,347077,31.3875
26,27,2631,7.225
27,28,19950,263.0
28,29,330959,7.8792
29,30,349216,7.8958
30,31,PC 17601,27.7208
31,32,PC 17569,146.5208
32,33,335677,7.75
33,34,C.A. 24579,10.5
34,35,PC 17604,82.1708
35,36,113789,52.0
36,37,2677,7.2292
37,38,A./5. 2152,8.05
38,39,345764,18.0
39,40,2651,11.2417
40,41,7546,9.475
41,42,11668,21.0
42,43,349253,7.8958
43,44,SC/Paris 2123,41.5792
44,45,330958,7.8792
45,46,S.C./A.4. 23567,8.05
46,47,370371,15.5
47,48,14311,7.75
48,49,2662,21.6792
49,50,349237,17.8
50,51,3101295,39.6875
51,52,A/4. 39886,7.8
52,53,PC 17572,76.7292
53,54,2926,26.0
54,55,113509,61.9792
55,56,19947,35.5
56,57,C.A. 31026,10.5
57,58,2697,7.2292
58,59,C.A. 34651,27.75
59,60,CA 2144,46.9
60,61,2669,7.2292
61,62,113572,80.0
62,63,36973,83.475
63,64,347088,27.9
64,65,PC 17605,27.7208
65,66,2661,15.2458
66,67,C.A. 29395,10.5
67,68,S.P. 3464,8.1583
68,69,3101281,7.925
69,70,315151,8.6625
70,71,C.A. 33111,10.5
71,72,CA 2144,46.9
72,73,S.O.C. 14879,73.5
73,74,2680,14.4542
74,75,1601,56.4958
75,76,348123,7.65
76,77,349208,7.8958
77,78,374746,8.05
78,79,248738,29.0
79,80,364516,12.475
80,81,345767,9.0
81,82,345779,9.5
82,83,330932,7.7875
83,84,113059,47.1
84,85,SO/C 14885,10.5
85,86,3101278,15.85
86,87,W./C. 6608,34.375
87,88,SOTON/OQ 392086,8.05
88,89,19950,263.0
89,90,343275,8.05
90,91,343276,8.05
91,92,347466,7.8542
92,93,W.E.P. 5734,61.175
93,94,C.A. 2315,20.575
94,95,364500,7.25
95,96,374910,8.05
96,97,PC 17754,34.6542
97,98,PC 17759,63.3583
98,99,231919,23.0
99,100,244367,26.0
100,101,349245,7.8958
101,102,349215,7.8958
102,103,35281,77.2875
103,104,7540,8.6542
104,105,3101276,7.925
105,106,349207,7.8958
106,107,343120,7.65
107,108,312991,7.775
108,109,349249,7.8958
109,110,371110,24.15
110,111,110465,52.0
111,112,2665,14.4542
112,113,324669,8.05
113,114,4136,9.825
114,115,2627,14.4583
115,116,STON/O 2. 3101294,7.925
116,117,370369,7.75
117,118,11668,21.0
118,119,PC 17558,247.5208
119,120,347082,31.275
120,121,S.O.C. 14879,73.5
121,122,A4. 54510,8.05
122,123,237736,30.0708
123,124,27267,13.0
124,125,35281,77.2875
125,126,2651,11.2417
126,127,370372,7.75
127,128,C 17369,7.1417
128,129,2668,22.3583
129,130,347061,6.975
130,131,349241,7.8958
131,132,SOTON/O.Q. 3101307,7.05
132,133,A/5. 3337,14.5
133,134,228414,26.0
134,135,C.A. 29178,13.0
135,136,SC/PARIS 2133,15.0458
136,137,11752,26.2833
137,138,113803,53.1
138,139,7534,9.2167
139,140,PC 17593,79.2
140,141,2678,15.2458
141,142,347081,7.75
142,143,STON/O2. 3101279,15.85
143,144,365222,6.75
144,145,231945,11.5
145,146,C.A. 33112,36.75
146,147,350043,7.7958
147,148,W./C. 6608,34.375
148,149,230080,26.0
149,150,244310,13.0
150,151,S.O.P. 1166,12.525
151,152,113776,66.6
152,153,A.5. 11206,8.05
153,154,A/5. 851,14.5
154,155,Fa 265302,7.3125
155,156,PC 17597,61.3792
156,157,35851,7.7333
157,158,SOTON/OQ 392090,8.05
158,159,315037,8.6625
159,160,CA. 2343,69.55
160,161,371362,16.1
161,162,C.A. 33595,15.75
162,163,347068,7.775
163,164,315093,8.6625
164,165,3101295,39.6875
165,166,363291,20.525
166,167,113505,55.0
167,168,347088,27.9
168,169,PC 17318,25.925
169,170,1601,56.4958
170,171,111240,33.5
171,172,382652,29.125
172,173,347742,11.1333
173,174,STON/O 2. 3101280,7.925
174,175,17764,30.6958
175,176,350404,7.8542
176,177,4133,25.4667
177,178,PC 17595,28.7125
178,179,250653,13.0
179,180,LINE,0.0
180,181,CA. 2343,69.55
181,182,SC/PARIS 2131,15.05
182,183,347077,31.3875
183,184,230136,39.0
184,185,315153,22.025
185,186,113767,50.0
186,187,370365,15.5
187,188,111428,26.55
188,189,364849,15.5
189,190,349247,7.8958
190,191,234604,13.0
191,192,28424,13.0
192,193,350046,7.8542
193,194,230080,26.0
194,195,PC 17610,27.7208
195,196,PC 17569,146.5208
196,197,368703,7.75
197,198,4579,8.4042
198,199,370370,7.75
199,200,248747,13.0
200,201,345770,9.5
201,202,CA. 2343,69.55
202,203,3101264,6.4958
203,204,2628,7.225
204,205,A/5 3540,8.05
205,206,347054,10.4625
206,207,3101278,15.85
207,208,2699,18.7875
208,209,367231,7.75
209,210,112277,31.0
210,211,SOTON/O.Q. 3101311,7.05
211,212,F.C.C. 13528,21.0
212,213,A/5 21174,7.25
213,214,250646,13.0
214,215,367229,7.75
215,216,35273,113.275
216,217,STON/O2. 3101283,7.925
217,218,243847,27.0
218,219,11813,76.2917
219,220,W/C 14208,10.5
220,221,SOTON/OQ 392089,8.05
221,222,220367,13.0
222,223,21440,8.05
223,224,349234,7.8958
224,225,19943,90.0
225,226,PP 4348,9.35
226,227,SW/PP 751,10.5
227,228,A/5 21173,7.25
228,229,236171,13.0
229,230,4133,25.4667
230,231,36973,83.475
231,232,347067,7.775
232,233,237442,13.5
233,234,347077,31.3875
234,235,C.A. 29566,10.5
235,236,W./C. 6609,7.55
236,237,26707,26.0
237,238,C.A. 31921,26.25
238,239,28665,10.5
239,240,SCO/W 1585,12.275
240,241,2665,14.4542
241,242,367230,15.5
242,243,W./C. 14263,10.5
243,244,STON/O 2. 3101275,7.125
244,245,2694,7.225
245,246,19928,90.0
246,247,347071,7.775
247,248,250649,14.5
248,249,11751,52.5542
249,250,244252,26.0
250,251,362316,7.25
251,252,347054,10.4625
252,253,113514,26.55
253,254,A/5. 3336,16.1
254,255,370129,20.2125
255,256,2650,15.2458
256,257,PC 17585,79.2
257,258,110152,86.5
258,259,PC 17755,512.3292
259,260,230433,26.0
260,261,384461,7.75
261,262,347077,31.3875
262,263,110413,79.65
263,264,112059,0.0
264,265,382649,7.75
265,266,C.A. 17248,10.5
266,267,3101295,39.6875
267,268,347083,7.775
268,269,PC 17582,153.4625
269,270,PC 17760,135.6333
270,271,113798,31.0
271,272,LINE,0.0
272,273,250644,19.5
273,274,PC 17596,29.7
274,275,370375,7.75
275,276,13502,77.9583
276,277,347073,7.75
277,278,239853,0.0
278,279,382652,29.125
279,280,C.A. 2673,20.25
280,281,336439,7.75
281,282,347464,7.8542
282,283,345778,9.5
283,284,A/5. 10482,8.05
284,285,113056,26.0
285,286,349239,8.6625
286,287,345774,9.5
287,288,349206,7.8958
288,289,237798,13.0
289,290,370373,7.75
290,291,19877,78.85
291,292,11967,91.0792
292,293,SC/Paris 2163,12.875
293,294,349236,8.85
294,295,349233,7.8958
295,296,PC 17612,27.7208
296,297,2693,7.2292
297,298,113781,151.55
298,299,19988,30.5
299,300,PC 17558,247.5208
300,301,9234,7.75
301,302,367226,23.25
302,303,LINE,0.0
303,304,226593,12.35
304,305,A/5 2466,8.05
305,306,113781,151.55
306,307,17421,110.8833
307,308,PC 17758,108.9
308,309,P/PP 3381,24.0
309,310,PC 17485,56.9292
310,311,11767,83.1583
311,312,PC 17608,262.375
312,313,250651,26.0
313,314,349243,7.8958
314,315,F.C.C. 13529,26.25
315,316,347470,7.8542
316,317,244367,26.0
317,318,29011,14.0
318,319,36928,164.8667
319,320,16966,134.5
320,321,A/5 21172,7.25
321,322,349219,7.8958
322,323,234818,12.35
323,324,248738,29.0
324,325,CA. 2343,69.55
325,326,PC 17760,135.6333
326,327,345364,6.2375
327,328,28551,13.0
328,329,363291,20.525
329,330,111361,57.9792
330,331,367226,23.25
331,332,113043,28.5
332,333,PC 17582,153.4625
333,334,345764,18.0
334,335,PC 17611,133.65
335,336,349225,7.8958
336,337,113776,66.6
337,338,16966,134.5
338,339,7598,8.05
339,340,113784,35.5
340,341,230080,26.0
341,342,19950,263.0
342,343,248740,13.0
343,344,244361,13.0
344,345,229236,13.0
345,346,248733,13.0
346,347,31418,13.0
347,348,386525,16.1
348,349,C.A. 37671,15.9
349,350,315088,8.6625
350,351,7267,9.225
351,352,113510,35.0
352,353,2695,7.2292
353,354,349237,17.8
354,355,2647,7.225
355,356,345783,9.5
356,357,113505,55.0
357,358,237671,13.0
358,359,330931,7.8792
359,360,330980,7.8792
360,361,347088,27.9
361,362,SC/PARIS 2167,27.7208
362,363,2691,14.4542
363,364,SOTON/O.Q. 3101310,7.05
364,365,370365,15.5
365,366,C 7076,7.25
366,367,110813,75.25
367,368,2626,7.2292
368,369,14313,7.75
369,370,PC 17477,69.3
370,371,11765,55.4417
371,372,3101267,6.4958
372,373,323951,8.05
373,374,PC 17760,135.6333
374,375,349909,21.075
375,376,PC 17604,82.1708
376,377,C 7077,7.25
377,378,113503,211.5
378,379,2648,4.0125
379,380,347069,7.775
380,381,PC 17757,227.525
381,382,2653,15.7417
382,383,STON/O 2. 3101293,7.925
383,384,113789,52.0
384,385,349227,7.8958
385,386,S.O.C. 14879,73.5
386,387,CA 2144,46.9
387,388,27849,13.0
388,389,367655,7.7292
389,390,SC 1748,12.0
390,391,113760,120.0
391,392,350034,7.7958
392,393,3101277,7.925
393,394,35273,113.275
394,395,PP 9549,16.7
395,396,350052,7.7958
396,397,350407,7.8542
397,398,28403,26.0
398,399,244278,10.5
399,400,240929,12.65
400,401,STON/O 2. 3101289,7.925
401,402,341826,8.05
402,403,4137,9.825
403,404,STON/O2. 3101279,15.85
404,405,315096,8.6625
405,406,28664,21.0
406,407,347064,7.75
407,408,29106,18.75
408,409,312992,7.775
409,410,4133,25.4667
410,411,349222,7.8958
411,412,394140,6.8583
412,413,19928,90.0
413,414,239853,0.0
414,415,STON/O 2. 3101269,7.925
415,416,343095,8.05
416,417,28220,32.5
417,418,250652,13.0
418,419,28228,13.0
419,420,345773,24.15
420,421,349254,7.8958
421,422,A/5. 13032,7.7333
422,423,315082,7.875
423,424,347080,14.4
424,425,370129,20.2125
425,426,A/4. 34244,7.25
426,427,2003,26.0
427,428,250655,26.0
428,429,364851,7.75
429,430,SOTON/O.Q. 392078,8.05
430,431,110564,26.55
431,432,376564,16.1
432,433,SC/AH 3085,26.0
433,434,STON/O 2. 3101274,7.125
434,435,13507,55.9
435,436,113760,120.0
436,437,W./C. 6608,34.375
437,438,29106,18.75
438,439,19950,263.0
439,440,C.A. 18723,10.5
440,441,F.C.C. 13529,26.25
441,442,345769,9.5
442,443,347076,7.775
443,444,230434,13.0
444,445,65306,8.1125
445,446,33638,81.8583
446,447,250644,19.5
447,448,113794,26.55
448,449,2666,19.2583
449,450,113786,30.5
450,451,C.A. 34651,27.75
451,452,65303,19.9667
452,453,113051,27.75
453,454,17453,89.1042
454,455,A/5 2817,8.05
455,456,349240,7.8958
456,457,13509,26.55
457,458,17464,51.8625
458,459,F.C.C. 13531,10.5
459,460,371060,7.75
460,461,19952,26.55
461,462,364506,8.05
462,463,111320,38.5
463,464,234360,13.0
464,465,A/S 2816,8.05
465,466,SOTON/O.Q. 3101306,7.05
466,467,239853,0.0
467,468,113792,26.55
468,469,36209,7.725
469,470,2666,19.2583
470,471,323592,7.25
471,472,315089,8.6625
472,473,C.A. 34651,27.75
473,474,SC/AH Basle 541,13.7917
474,475,7553,9.8375
475,476,110465,52.0
476,477,31027,21.0
477,478,3460,7.0458
478,479,350060,7.5208
479,480,3101298,12.2875
480,481,CA 2144,46.9
481,482,239854,0.0
482,483,A/5 3594,8.05
483,484,4134,9.5875
484,485,11967,91.0792
485,486,4133,25.4667
486,487,19943,90.0
487,488,11771,29.7
488,489,A.5. 18509,8.05
489,490,C.A. 37671,15.9
490,491,65304,19.9667
491,492,SOTON/OQ 3101317,7.25
492,493,113787,30.5
493,494,PC 17609,49.5042
494,495,A/4 45380,8.05
495,496,2627,14.4583
496,497,36947,78.2667
497,498,C.A. 6212,15.1
498,499,113781,151.55
499,500,350035,7.7958
500,501,315086,8.6625
501,502,364846,7.75
502,503,330909,7.6292
503,504,4135,9.5875
504,505,110152,86.5
505,506,PC 17758,108.9
506,507,26360,26.0
507,508,111427,26.55
508,509,C 4001,22.525
509,510,1601,56.4958
510,511,382651,7.75
511,512,SOTON/OQ 3101316,8.05
512,513,PC 17473,26.2875
513,514,PC 17603,59.4
514,515,349209,7.4958
515,516,36967,34.0208
516,517,C.A. 34260,10.5
517,518,371110,24.15
518,519,226875,26.0
519,520,349242,7.8958
520,521,12749,93.5
521,522,349252,7.8958
522,523,2624,7.225
523,524,111361,57.9792
524,525,2700,7.2292
525,526,367232,7.75
526,527,W./C. 14258,10.5
527,528,PC 17483,221.7792
528,529,3101296,7.925
529,530,29104,11.5
530,531,26360,26.0
531,532,2641,7.2292
532,533,2690,7.2292
533,534,2668,22.3583
534,535,315084,8.6625
535,536,F.C.C. 13529,26.25
536,537,113050,26.55
537,538,PC 17761,106.425
538,539,364498,14.5
539,540,13568,49.5
540,541,WE/P 5735,71.0
541,542,347082,31.275
542,543,347082,31.275
543,544,2908,26.0
544,545,PC 17761,106.425
545,546,693,26.0
546,547,2908,26.0
547,548,SC/PARIS 2146,13.8625
548,549,363291,20.525
549,550,C.A. 33112,36.75
550,551,17421,110.8833
551,552,244358,26.0
552,553,330979,7.8292
553,554,2620,7.225
554,555,347085,7.775
555,556,113807,26.55
556,557,11755,39.6
557,558,PC 17757,227.525
558,559,110413,79.65
559,560,345572,17.4
560,561,372622,7.75
561,562,349251,7.8958
562,563,218629,13.5
563,564,SOTON/OQ 392082,8.05
564,565,SOTON/O.Q. 392087,8.05
565,566,A/4 48871,24.15
566,567,349205,7.8958
567,568,349909,21.075
568,569,2686,7.2292
569,570,350417,7.8542
570,571,S.W./PP 752,10.5
571,572,11769,51.4792
572,573,PC 17474,26.3875
573,574,14312,7.75
574,575,A/4. 20589,8.05
575,576,358585,14.5
576,577,243880,13.0
577,578,13507,55.9
578,579,2689,14.4583
579,580,STON/O 2. 3101286,7.925
580,581,237789,30.0
581,582,17421,110.8833
582,583,28403,26.0
583,584,13049,40.125
584,585,3411,8.7125
585,586,110413,79.65
586,587,237565,15.0
587,588,13567,79.2
588,589,14973,8.05
589,590,A./5. 3235,8.05
590,591,STON/O 2. 3101273,7.125
591,592,36947,78.2667
592,593,A/5 3902,7.25
593,594,364848,7.75
594,595,SC/AH 29037,26.0
595,596,345773,24.15
596,597,248727,33.0
597,598,LINE,0.0
598,599,2664,7.225
599,600,PC 17485,56.9292
600,601,243847,27.0
601,602,349214,7.8958
602,603,113796,42.4
603,604,364511,8.05
604,605,111426,26.55
605,606,349910,15.55
606,607,349246,7.8958
607,608,113804,30.5
608,609,SC/Paris 2123,41.5792
609,610,PC 17582,153.4625
610,611,347082,31.275
611,612,SOTON/O.Q. 3101305,7.05
612,613,367230,15.5
613,614,370377,7.75
614,615,364512,8.05
615,616,220845,65.0
616,617,347080,14.4
617,618,A/5. 3336,16.1
618,619,230136,39.0
619,620,31028,10.5
620,621,2659,14.4542
621,622,11753,52.5542
622,623,2653,15.7417
623,624,350029,7.8542
624,625,54636,16.1
625,626,36963,32.3208
626,627,219533,12.35
627,628,13502,77.9583
628,629,349224,7.8958
629,630,334912,7.7333
630,631,27042,30.0
631,632,347743,7.0542
632,633,13214,30.5
633,634,112052,0.0
634,635,347088,27.9
635,636,237668,13.0
636,637,STON/O 2. 3101292,7.925
637,638,C.A. 31921,26.25
638,639,3101295,39.6875
639,640,376564,16.1
640,641,350050,7.8542
641,642,PC 17477,69.3
642,643,347088,27.9
643,644,1601,56.4958
644,645,2666,19.2583
645,646,PC 17572,76.7292
646,647,349231,7.8958
647,648,13213,35.5
648,649,S.O./P.P. 751,7.55
649,650,CA. 2314,7.55
650,651,349221,7.8958
651,652,231919,23.0
652,653,8475,8.4333
653,654,330919,7.8292
654,655,365226,6.75
655,656,S.O.C. 14879,73.5
656,657,349223,7.8958
657,658,364849,15.5
658,659,29751,13.0
659,660,35273,113.275
660,661,PC 17611,133.65
661,662,2623,7.225
662,663,5727,25.5875
663,664,349210,7.4958
664,665,STON/O 2. 3101285,7.925
665,666,S.O.C. 14879,73.5
666,667,234686,13.0
667,668,312993,7.775
668,669,A/5 3536,8.05
669,670,19996,52.0
670,671,29750,39.0
671,672,F.C. 12750,52.0
672,673,C.A. 24580,10.5
673,674,244270,13.0
674,675,239856,0.0
675,676,349912,7.775
676,677,342826,8.05
677,678,4138,9.8417
678,679,CA 2144,46.9
679,680,PC 17755,512.3292
680,681,330935,8.1375
681,682,PC 17572,76.7292
682,683,6563,9.225
683,684,CA 2144,46.9
684,685,29750,39.0
685,686,SC/Paris 2123,41.5792
686,687,3101295,39.6875
687,688,349228,10.1708
688,689,350036,7.7958
689,690,24160,211.3375
690,691,17474,57.0
691,692,349256,13.4167
692,693,1601,56.4958
693,694,2672,7.225
694,695,113800,26.55
695,696,248731,13.5
696,697,363592,8.05
697,698,35852,7.7333
698,699,17421,110.8833
699,700,348121,7.65
700,701,PC 17757,227.525
701,702,PC 17475,26.2875
702,703,2691,14.4542
703,704,36864,7.7417
704,705,350025,7.8542
705,706,250655,26.0
706,707,223596,13.5
707,708,PC 17476,26.2875
708,709,113781,151.55
709,710,2661,15.2458
710,711,PC 17482,49.5042
711,712,113028,26.55
712,713,19996,52.0
713,714,7545,9.4833
714,715,250647,13.0
715,716,348124,7.65
716,717,PC 17757,227.525
717,718,34218,10.5
718,719,36568,15.5
719,720,347062,7.775
720,721,248727,33.0
721,722,350048,7.0542
722,723,12233,13.0
723,724,250643,13.0
724,725,113806,53.1
725,726,315094,8.6625
726,727,31027,21.0
727,728,36866,7.7375
728,729,236853,26.0
729,730,STON/O2. 3101271,7.925
730,731,24160,211.3375
731,732,2699,18.7875
732,733,239855,0.0
733,734,28425,13.0
734,735,233639,13.0
735,736,54636,16.1
736,737,W./C. 6608,34.375
737,738,PC 17755,512.3292
738,739,349201,7.8958
739,740,349218,7.8958
740,741,16988,30.0
741,742,19877,78.85
742,743,PC 17608,262.375
743,744,376566,16.1
744,745,STON/O 2. 3101288,7.925
745,746,WE/P 5735,71.0
746,747,C.A. 2673,20.25
747,748,250648,13.0
748,749,113773,53.1
749,750,335097,7.75
750,751,29103,23.0
751,752,392096,12.475
752,753,345780,9.5
753,754,349204,7.8958
754,755,220845,65.0
755,756,250649,14.5
756,757,350042,7.7958
757,758,29108,11.5
758,759,363294,8.05
759,760,110152,86.5
760,761,358585,14.5
761,762,SOTON/O2 3101272,7.125
762,763,2663,7.2292
763,764,113760,120.0
764,765,347074,7.775
765,766,13502,77.9583
766,767,112379,39.6
767,768,364850,7.75
768,769,371110,24.15
769,770,8471,8.3625
770,771,345781,9.5
771,772,350047,7.8542
772,773,S.O./P.P. 3,10.5
773,774,2674,7.225
774,775,29105,23.0
775,776,347078,7.75
776,777,383121,7.75
777,778,364516,12.475
778,779,36865,7.7375
779,780,24160,211.3375
780,781,2687,7.2292
781,782,17474,57.0
782,783,113501,30.0
783,784,W./C. 6607,23.45
784,785,SOTON/O.Q. 3101312,7.05
785,786,374887,7.25
786,787,3101265,7.4958
787,788,382652,29.125
788,789,C.A. 2315,20.575
789,790,PC 17593,79.2
790,791,12460,7.75
791,792,239865,26.0
792,793,CA. 2343,69.55
793,794,PC 17600,30.6958
794,795,349203,7.8958
795,796,28213,13.0
796,797,17465,25.9292
797,798,349244,8.6833
798,799,2685,7.2292
799,800,345773,24.15
800,801,250647,13.0
801,802,C.A. 31921,26.25
802,803,113760,120.0
803,804,2625,8.5167
804,805,347089,6.975
805,806,347063,7.775
806,807,112050,0.0
807,808,347087,7.775
808,809,248723,13.0
809,810,113806,53.1
810,811,3474,7.8875
811,812,A/4 48871,24.15
812,813,28206,10.5
813,814,347082,31.275
814,815,364499,8.05
815,816,112058,0.0
816,817,STON/O2. 3101290,7.925
817,818,S.C./PARIS 2079,37.0042
818,819,C 7075,6.45
819,820,347088,27.9
820,821,12749,93.5
821,822,315098,8.6625
822,823,19972,0.0
823,824,392096,12.475
824,825,3101295,39.6875
825,826,368323,6.95
826,827,1601,56.4958
827,828,S.C./PARIS 2079,37.0042
828,829,367228,7.75
829,830,113572,80.0
830,831,2659,14.4542
831,832,29106,18.75
832,833,2671,7.2292
833,834,347468,7.8542
834,835,2223,8.3
835,836,PC 17756,83.1583
836,837,315097,8.6625
837,838,392092,8.05
838,839,1601,56.4958
839,840,11774,29.7
840,841,SOTON/O2 3101287,7.925
841,842,S.O./P.P. 3,10.5
842,843,113798,31.0
843,844,2683,6.4375
844,845,315090,8.6625
845,846,C.A. 5547,7.55
846,847,CA. 2343,69.55
847,848,349213,7.8958
848,849,248727,33.0
849,850,17453,89.1042
850,851,347082,31.275
851,852,347060,7.775
852,853,2678,15.2458
853,854,PC 17592,39.4
854,855,244252,26.0
855,856,392091,9.35
856,857,36928,164.8667
857,858,113055,26.55
858,859,2666,19.2583
859,860,2629,7.2292
860,861,350026,14.1083
861,862,28134,11.5
862,863,17466,25.9292
863,864,CA. 2343,69.55
864,865,233866,13.0
865,866,236852,13.0
866,867,SC/PARIS 2149,13.8583
867,868,PC 17590,50.4958
868,869,345777,9.5
869,870,347742,11.1333
870,871,349248,7.8958
871,872,11751,52.5542
872,873,695,5.0
873,874,345765,9.0
874,875,P/PP 3381,24.0
875,876,2667,7.225
876,877,7534,9.8458
877,878,349212,7.8958
878,879,349217,7.8958
879,880,11767,83.1583
880,881,230433,26.0
881,882,349257,7.8958
882,883,7552,10.5167
883,884,C.A./SOTON 34068,10.5
884,885,SOTON/OQ 392076,7.05
885,886,382652,29.125
886,887,211536,13.0
887,888,112053,30.0
888,889,W./C. 6607,23.45
889,890,111369,30.0
890,891,370376,7.75
